지역명(쿼리용),지역평균고도,강수계속시간,최다강수량(1H),일강수량,최대풍속,평균기온,전일침수발생여부,침수발생여부(지도학습용)
강서,80,5,1.7,1.7,5.4,26.4,0,1
강서,80,12.5,4.2,7.5,10.7,24.5,1,1
강서,80,0,0,0,4.8,25.3,1,1
강서,80,22,49,212.7,7.4,24.2,1,1
강서,80,20.5,8.2,14.5,6.1,25.2,1,1
강서,80,10.5,0.2,0.5,5.9,27.6,1,1
강서,80,13,36,58.7,8.5,24.7,1,1
강서,80,24,31.2,219,6,19.3,1,1
강서,80,24,7,34.2,3.9,19.8,1,1
강서,80,24,5.7,25,4.2,20,1,1
강서,80,0,0,0,5.5,22.3,1,1
강서,80,4.5,1,2.2,5.4,22.3,1,1
강서,80,23,1.2,1.7,4.6,22.7,1,1
강서,80,24,8.2,13.5,4.8,24,1,1
강서,80,0,0,0,3.7,23.3,1,1
강서,80,0,0,0,4.1,23.4,1,1
강서,80,0,0,0,3,24.4,1,1
강서,80,24,1.5,3.5,5,22.7,1,1
강서,80,23,32,172.5,6.2,21.4,1,1
강서,80,24,38.2,86.5,4.7,22.5,1,1
강서,80,23,6.7,11.2,3.6,25.1,1,1
강서,80,23,41.5,179.7,8.3,21.3,0,1
강서,80,1.5,0.5,0.5,3.6,24.7,1,1
강서,80,23,19.2,98.5,8.1,21.1,1,1
강서,80,3.5,7,8.2,4,22.9,1,1
강서,80,24,29.5,133.2,8.7,23.4,1,1
강서,80,0,0,0,5.4,23.1,1,1
강서,80,0,0,0,4,26.6,1,1
강서,80,24,50.2,72.5,6.9,26.4,0,1
강서,80,16,5.7,12.5,8.4,26.8,1,1
강서,80,23,50,51.5,6.2,26.7,1,1
강서,80,0,0,0,3.7,24.9,1,1
강서,80,0,0,0,2.9,26.3,1,1
강서,80,22,5.7,7.5,5.3,27,1,1
강서,80,23,11.5,27.5,4.4,26.5,1,1
강서,80,18.5,4,9.2,4.1,24.1,1,1
강서,80,20.5,15.2,41.5,5.4,21.8,1,1
강서,80,24,4,7,5.8,25.1,1,1
강서,80,3,0.2,0.2,6.3,27.4,1,1
강서,80,12.5,10.2,20.2,5.7,26.2,1,1
강서,80,22,35.7,124.7,5,24,1,1
강서,80,18,90,257.5,9,21.6,1,1
강서,80,4,0.2,0.2,3.8,16.7,1,1
강서,80,9,37.5,86,7,26,0,1
강서,80,24,57,228.5,7,24.5,1,1
강서,80,21,33.7,111.5,6,24.9,1,1
강서,80,24,4.7,6.5,3.3,26.2,1,1
강서,80,0,0,0,4,27.2,0,1
강서,80,6.5,4,6.5,3.3,26.5,1,1
강서,80,24,6.2,23.5,3.9,24.5,1,1
강서,80,24,17.2,39,7,25,1,1
강서,80,21.5,11,36.5,3.9,25.4,1,1
강서,80,24,6.2,13.5,7.5,22,0,1
강서,80,0,0,0,5.3,21.9,1,1
강서,80,0,0,0,5.1,20.9,1,1
강서,80,0,0,0,3.8,17.3,1,1
관악,142,15,5.5,22,4.8,24.6,0,1
관악,142,24,20.5,39,5.8,24.2,1,1
관악,142,3,2.5,4,3.8,26.2,1,1
관악,142,23,18,31,5.8,26,1,1
관악,142,24,29,103,3.4,24.8,1,1
관악,142,6,9.5,13,7.2,26.9,1,1
관악,142,19,37,54,6.9,25.4,1,1
관악,142,24,22,32.5,4.5,26,1,1
관악,142,24,69.5,319.5,4.9,24.7,1,1
관악,142,0,0,0,2.4,25.2,1,1
관악,142,15,32.5,63.5,3.9,24.3,1,1
관악,142,22,41.5,43.5,6.4,26.7,1,1
관악,142,16,4.5,7.5,5.8,24.4,1,1
관악,142,0,0,0,3.8,25.8,1,1
관악,142,0,0,0,4.7,4.4,1,1
관악,142,24,32.5,48.5,6.8,24.4,1,1
관악,142,0,0,0,1.9,25,1,1
관악,142,0,0,0,2.2,24.7,1,1
관악,142,0,0,0,2.8,24.5,1,1
관악,142,21,3,3,5.3,25.3,0,1
관악,142,0,0,0,4.9,25.6,1,1
관악,142,20,3.5,4.5,4.6,26.4,1,1
관악,142,0,0,0,2.6,28.6,1,1
관악,142,0,0,0,5.4,28,1,1
관악,142,21,9,77,4.2,24.3,1,1
관악,142,24,5.5,26,3.6,24.4,1,1
관악,142,6,3,7.5,5.1,26.1,1,1
관악,142,21,29.5,52.5,7,25.3,1,1
관악,142,24,28,148.5,7.1,23.4,1,1
관악,142,24,34.5,222,4.3,21.3,1,1
관악,142,24,19.5,77,10,21.2,1,1
관악,142,0,0,0,8.4,23.3,1,1
관악,142,18,40.5,108,4,21.8,0,1
